Disponibilidades | 34.737.900 | 136.023.620 | 31.926.588 | 188.699.547
Inversiones temporales | 12.490 | 108.356.162 | 366.984 | 364.966
Cuentas por cobrar comerciales, neto | 203.969.154 | 103.661.094 | 308.495.670 | 110.698.944
Otras cuentas por cobrar | 247.513.536 | 407.427.015 | 557.582.607 | 541.451.631
Anticipo a proveedores | 102.191.620 | 50.363.560 | 200.768.617 | 196.610.150
Inventarios | 595.582.621 | 973.201.761 | 560.273.689 | 367.502.232
Gastos anticipados | 14.521.361 | 30.994.228 | 21.033.469 | 19.132.623
Total Activo corriente | 1.198.528.683 | 1.810.027.439 | 1.680.447.623 | 1.424.460.093
Inversiones permanentes | 872.244 | 866.794 | 846.268 | 840.401
Otras cuentas por cobrar | 0 | 489.547.525 | 7.169.461 | 8.975.677
Activo Fijo, neto | 518.627.610 | 490.414.319 | 452.503.883 | 442.677.589
Total Activo no corriente | 519.499.854 | 2.300.441.758 | 460.519.612 | 452.493.667
TOTAL ACTIVO | 1.718.028.537 | 55.274.163 | 2.140.967.235 | 1.876.953.760
Deudas Comerciales | 89.995.683 | 920.659.988 | 187.992.561 | 53.430.146
Deudas Bancarias y Financieras | 330.582.572 | 35.488.470 | 662.118.741 | 560.489.614
Deudas por Emisión de Valores | 49.147.680 | 41.882.876 | 166.625.804 | 76.760.383
Otras Cuentas por Pagar | 8.394.586 | 23.569.557 | 43.130.866 | 45.695.639
Anticipos recibidos de clientes | 36.747.138 | 1.076.875.054 | 11.225.481 | 20.281.196
Total Pasivo corriente | 514.867.658 | 253.888.665 | 1.071.093.453 | 756.656.978
Deudas Bancarias y Financieras | 340.754.142 | 6.922.685 | 53.710.172 | 75.725.000
Provisión para indemnizaciones | 9.630.367 | 260.811.350 | 7.318.376 | 7.044.894
Total Pasivo no corriente | 350.384.508 | 1.337.686.404 | 61.028.548 | 82.769.894
TOTAL PASIVO | 865.252.166 | 301.274.000 | 1.132.122.001 | 839.426.872
Capital Pagado | 301.274.000 | 275.964.418 | 301.274.000 | 301.274.000
Ajuste de capital | 279.790.869 | 30.287.252 | 262.102.832 | 258.150.098
Ajuste de reservas patrimoniales | 30.543.672 | 27.151.684 | 28.950.592 | 28.514.613
Reserva legal | 23.937.507 | 328.077.999 | 33.188.798 | 37.543.123
Resultados acumulados | 217.230.322 | 962.755.354 | 383.329.011 | 412.045.054
TOTAL PATRIMONIO NETO | 852.776.371 | 2.300.441.758 | 1.008.845.234 | 1.037.526.888
